ligand,protein,affinity,difference
aspirin,1ITB,-6.1,-1.9
aspirin,3O4O,-4.2,-1.3
l_arginine,1ITB,-5.6,-1.5
l_arginine,3O4O,-4.3,-1.6
bexarotene,1ITB,-7,-4.6
bexarotene,3O4O,-5.5,-2.3
famotidine,1ITB,-6.6,-1.5
famotidine,3O4O,-5,-4
levonorgestrel,1ITB,-9.8,-3.6
levonorgestrel,3O4O,-5.2,-2.8
oxazolidin,1ITB,-6.8,-3.6
oxazolidin,3O4O,-4.5,-3.3
toremifene,1ITB,-6,-3
toremifene,3O4O,-4.5,-3.3
panobinostat,1ITB,-8.8,-2.5
panobinostat,3O4O,-4.8,-2.7
paliperidone,1ITB,-9.4,-2.5
paliperidone,3O4O,-5.8,-1.7
paroxetine,1ITB,-7.5,-1.7
paroxetine,3O4O,-4.7,-2.1
benzoyl_peroxide,1ITB,-7.6,-2.1
benzoyl_peroxide,3O4O,-4,-1.6
carbamazepine,1ITB,-8.7,-2.1
carbamazepine,3O4O,-5.4,-1.5
febuxostat,1ITB,-7.7,-2.4
febuxostat,3O4O,-4.7,-2.9
finofibric_acid,1ITB,-8.2,-1.9
finofibric_acid,3O4O,-4.9,-2.3
ibuprofen,1ITB,-7,-3.5
ibuprofen,3O4O,-4.5,-1.7
naproxen,1ITB,-7.8,-1.8
naproxen,3O4O,-5.1,-1.6
celecoxib,1ITB,-7.3,-2.8
celecoxib,3O4O,-4.8,-2.4
hydroflumethiazide,1ITB,-6.3,-2.3
hydroflumethiazide,3O4O,-4.6,
kanamycin,1ITB,-6.6,
kanamycin,3O4O,-4.9,
pilocarpine,1ITB,-6.3,
pilocarpine,3O4O,-4.2,
acetazolamide,1ITB,-6,
acetazolamide,3O4O,-3.9,
allopurinol,1ITB,-5.3,
allopurinol,3O4O,-3.7,
caffeine,1ITB,-5.8,
caffeine,3O4O,-3.7,
nicotinamide,1ITB,-5.1,
nicotinamide,3O4O,-3.6,
theophylline,1ITB,-6.1,
theophylline,3O4O,-3.7,
atenolol,1ITB,-7.3,
atenolol,3O4O,-4.4,
metformin,1ITB,-5.1,
metformin,3O4O,-3.2,
ranitidine,1ITB,-6.2,
ranitidine,3O4O,-3.9,
sertraline,1ITB,-8.6,
sertraline,3O4O,-5.1,
simvastatin,1ITB,-6.7,
simvastatin,3O4O,-5,
amiodarone,1ITB,-6.1,
amiodarone,3O4O,-4.3,
hydrochlorothiazide,1ITB,-6.5,
hydrochlorothiazide,3O4O,-4.9,
montelukast,1ITB,-8.4,
montelukast,3O4O,-5.6,
prilosec,1ITB,-7.8,
prilosec,3O4O,-5.4,
atorvastatin,1ITB,-7,
atorvastatin,3O4O,-4.7,
